split,path,class_id,class_name,width,height,area
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00000.ppm,0,Speed limit 20,29,30,870
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00001.ppm,0,Speed limit 20,30,30,900
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00002.ppm,0,Speed limit 20,30,30,900
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00003.ppm,0,Speed limit 20,31,31,961
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00004.ppm,0,Speed limit 20,30,32,960
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00005.ppm,0,Speed limit 20,31,31,961
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00006.ppm,0,Speed limit 20,33,34,1122
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00007.ppm,0,Speed limit 20,34,35,1190
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00008.ppm,0,Speed limit 20,33,34,1122
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00009.ppm,0,Speed limit 20,36,36,1296
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00010.ppm,0,Speed limit 20,35,36,1260
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00011.ppm,0,Speed limit 20,37,38,1406
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00012.ppm,0,Speed limit 20,37,38,1406
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00013.ppm,0,Speed limit 20,40,39,1560
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00014.ppm,0,Speed limit 20,41,42,1722
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00015.ppm,0,Speed limit 20,44,44,1936
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00016.ppm,0,Speed limit 20,46,44,2024
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00017.ppm,0,Speed limit 20,47,48,2256
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00018.ppm,0,Speed limit 20,50,48,2400
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00019.ppm,0,Speed limit 20,53,51,2703
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00020.ppm,0,Speed limit 20,57,54,3078
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00021.ppm,0,Speed limit 20,59,58,3422
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00022.ppm,0,Speed limit 20,63,61,3843
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00023.ppm,0,Speed limit 20,70,70,4900
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00024.ppm,0,Speed limit 20,76,76,5776
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00025.ppm,0,Speed limit 20,85,86,7310
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00026.ppm,0,Speed limit 20,97,97,9409
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00027.ppm,0,Speed limit 20,108,110,11880
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00028.ppm,0,Speed limit 20,124,127,15748
train,data\raw\gtsrb\GTSRB\Training\00000\00000_00029.ppm,0,Speed limit 20,144,148,21312
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00000.ppm,0,Speed limit 20,29,30,870
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00001.ppm,0,Speed limit 20,30,30,900
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00002.ppm,0,Speed limit 20,30,29,870
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00003.ppm,0,Speed limit 20,31,31,961
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00004.ppm,0,Speed limit 20,31,31,961
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00005.ppm,0,Speed limit 20,32,32,1024
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00006.ppm,0,Speed limit 20,33,34,1122
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00007.ppm,0,Speed limit 20,34,33,1122
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00008.ppm,0,Speed limit 20,33,33,1089
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00009.ppm,0,Speed limit 20,34,33,1122
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00010.ppm,0,Speed limit 20,36,35,1260
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00011.ppm,0,Speed limit 20,35,36,1260
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00012.ppm,0,Speed limit 20,36,36,1296
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00013.ppm,0,Speed limit 20,36,36,1296
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00014.ppm,0,Speed limit 20,37,36,1332
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00015.ppm,0,Speed limit 20,38,38,1444
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00016.ppm,0,Speed limit 20,38,39,1482
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00017.ppm,0,Speed limit 20,39,41,1599
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00018.ppm,0,Speed limit 20,40,41,1640
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00019.ppm,0,Speed limit 20,42,43,1806
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00020.ppm,0,Speed limit 20,43,43,1849
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00021.ppm,0,Speed limit 20,45,45,2025
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00022.ppm,0,Speed limit 20,45,47,2115
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00023.ppm,0,Speed limit 20,47,48,2256
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00024.ppm,0,Speed limit 20,49,49,2401
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00025.ppm,0,Speed limit 20,50,52,2600
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00026.ppm,0,Speed limit 20,53,54,2862
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00027.ppm,0,Speed limit 20,55,56,3080
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00028.ppm,0,Speed limit 20,57,59,3363
train,data\raw\gtsrb\GTSRB\Training\00000\00001_00029.ppm,0,Speed limit 20,59,61,3599
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00000.ppm,0,Speed limit 20,27,26,702
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00001.ppm,0,Speed limit 20,27,28,756
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00002.ppm,0,Speed limit 20,27,28,756
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00003.ppm,0,Speed limit 20,30,29,870
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00004.ppm,0,Speed limit 20,30,29,870
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00005.ppm,0,Speed limit 20,31,31,961
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00006.ppm,0,Speed limit 20,30,30,900
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00007.ppm,0,Speed limit 20,32,31,992
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00008.ppm,0,Speed limit 20,31,32,992
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00009.ppm,0,Speed limit 20,34,33,1122
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00010.ppm,0,Speed limit 20,34,34,1156
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00011.ppm,0,Speed limit 20,35,35,1225
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00012.ppm,0,Speed limit 20,38,37,1406
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00013.ppm,0,Speed limit 20,39,39,1521
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00014.ppm,0,Speed limit 20,40,39,1560
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00015.ppm,0,Speed limit 20,41,41,1681
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00016.ppm,0,Speed limit 20,44,44,1936
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00017.ppm,0,Speed limit 20,46,45,2070
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00018.ppm,0,Speed limit 20,48,47,2256
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00019.ppm,0,Speed limit 20,51,50,2550
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00020.ppm,0,Speed limit 20,52,52,2704
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00021.ppm,0,Speed limit 20,55,55,3025
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00022.ppm,0,Speed limit 20,59,59,3481
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00023.ppm,0,Speed limit 20,62,63,3906
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00024.ppm,0,Speed limit 20,69,70,4830
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00025.ppm,0,Speed limit 20,74,75,5550
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00026.ppm,0,Speed limit 20,83,85,7055
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00027.ppm,0,Speed limit 20,92,95,8740
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00028.ppm,0,Speed limit 20,107,108,11556
train,data\raw\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,Speed limit 20,122,124,15128
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00000.ppm,0,Speed limit 20,27,28,756
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00001.ppm,0,Speed limit 20,28,29,812
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00002.ppm,0,Speed limit 20,29,28,812
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00003.ppm,0,Speed limit 20,29,30,870
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00004.ppm,0,Speed limit 20,28,30,840
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00005.ppm,0,Speed limit 20,31,31,961
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00006.ppm,0,Speed limit 20,33,32,1056
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00007.ppm,0,Speed limit 20,31,33,1023
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00008.ppm,0,Speed limit 20,33,33,1089
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00009.ppm,0,Speed limit 20,34,34,1156
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00010.ppm,0,Speed limit 20,36,35,1260
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00011.ppm,0,Speed limit 20,37,37,1369
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00012.ppm,0,Speed limit 20,37,36,1332
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00013.ppm,0,Speed limit 20,38,39,1482
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00014.ppm,0,Speed limit 20,40,39,1560
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00015.ppm,0,Speed limit 20,41,40,1640
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00016.ppm,0,Speed limit 20,43,44,1892
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00017.ppm,0,Speed limit 20,43,45,1935
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00018.ppm,0,Speed limit 20,47,46,2162
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00019.ppm,0,Speed limit 20,50,50,2500
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00020.ppm,0,Speed limit 20,51,52,2652
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00021.ppm,0,Speed limit 20,53,54,2862
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00022.ppm,0,Speed limit 20,58,57,3306
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00023.ppm,0,Speed limit 20,62,60,3720
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00024.ppm,0,Speed limit 20,64,61,3904
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00025.ppm,0,Speed limit 20,70,69,4830
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00026.ppm,0,Speed limit 20,76,75,5700
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00027.ppm,0,Speed limit 20,85,84,7140
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00028.ppm,0,Speed limit 20,94,93,8742
train,data\raw\gtsrb\GTSRB\Training\00000\00003_00029.ppm,0,Speed limit 20,109,104,11336
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00000.ppm,0,Speed limit 20,55,59,3245
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00001.ppm,0,Speed limit 20,56,60,3360
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00002.ppm,0,Speed limit 20,56,60,3360
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00003.ppm,0,Speed limit 20,57,61,3477
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00004.ppm,0,Speed limit 20,59,62,3658
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00005.ppm,0,Speed limit 20,59,63,3717
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00006.ppm,0,Speed limit 20,59,66,3894
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00007.ppm,0,Speed limit 20,63,68,4284
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00008.ppm,0,Speed limit 20,63,69,4347
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00009.ppm,0,Speed limit 20,65,70,4550
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00010.ppm,0,Speed limit 20,66,71,4686
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00011.ppm,0,Speed limit 20,68,72,4896
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00012.ppm,0,Speed limit 20,70,73,5110
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00013.ppm,0,Speed limit 20,70,74,5180
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00014.ppm,0,Speed limit 20,70,74,5180
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00015.ppm,0,Speed limit 20,72,75,5400
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00016.ppm,0,Speed limit 20,74,79,5846
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00017.ppm,0,Speed limit 20,74,80,5920
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00018.ppm,0,Speed limit 20,76,80,6080
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00019.ppm,0,Speed limit 20,77,82,6314
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00020.ppm,0,Speed limit 20,80,84,6720
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00021.ppm,0,Speed limit 20,81,85,6885
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00022.ppm,0,Speed limit 20,81,88,7128
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00023.ppm,0,Speed limit 20,84,88,7392
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00024.ppm,0,Speed limit 20,85,89,7565
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00025.ppm,0,Speed limit 20,86,93,7998
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00026.ppm,0,Speed limit 20,90,96,8640
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00027.ppm,0,Speed limit 20,95,100,9500
train,data\raw\gtsrb\GTSRB\Training\00000\00004_00028.ppm,0,Speed limit 20,98,106,10388
