attack  epsilon  clean_accuracy  adversarial_accuracy  attack_success_rate  mean_confidence_drop  total_images
  fgsm    0.005        0.979333              0.952667             0.027229              0.014138          3000
  fgsm    0.010        0.979333              0.901333             0.079646              0.032204          3000
  fgsm    0.020        0.979333              0.782667             0.200817              0.067202          3000
  fgsm    0.030        0.979333              0.671000             0.314840              0.101083          3000
  fgsm    0.050        0.979333              0.502333             0.487066              0.150744          3000
   pgd    0.005        0.979333              0.946667             0.033356              0.013717          3000
   pgd    0.010        0.979333              0.868333             0.113342              0.032474          3000
   pgd    0.020        0.979333              0.689667             0.295779              0.056804          3000
   pgd    0.030        0.979333              0.600000             0.387338              0.064823          3000
   pgd    0.050        0.979333              0.542667             0.445882              0.069639          3000
