attack  epsilon  jpeg_quality  clean_accuracy  accuracy_before_jpeg  accuracy_after_jpeg  recovery_rate_on_successful_attacks  mean_confidence_after_jpeg  mean_psnr_vs_attack  total_images
 clean     0.00            50        0.979333              0.979333             0.968667                             0.000000                    0.977573            33.278494          3000
 clean     0.00            75        0.979333              0.979333             0.972333                             0.000000                    0.981138            35.325022          3000
 clean     0.00            90        0.979333              0.979333             0.976667                             0.000000                    0.982819            37.986814          3000
  fgsm     0.03            50        0.979333              0.671000             0.815000                             0.474595                    0.922353            32.803779          3000
  fgsm     0.03            75        0.979333              0.671000             0.793667                             0.400000                    0.918651            34.672160          3000
  fgsm     0.03            90        0.979333              0.671000             0.762000                             0.297297                    0.910235            37.064970          3000
  fgsm     0.05            50        0.979333              0.502333             0.657000                             0.327044                    0.872346            32.122380          3000
  fgsm     0.05            75        0.979333              0.502333             0.627000                             0.262055                    0.867348            33.787544          3000
  fgsm     0.05            90        0.979333              0.502333             0.593000                             0.190776                    0.857914            35.872426          3000
   pgd     0.03            50        0.979333              0.603000             0.824333                             0.588131                    0.937898            32.988606          3000
   pgd     0.03            75        0.979333              0.603000             0.794333                             0.508415                    0.938736            34.910517          3000
   pgd     0.03            90        0.979333              0.603000             0.747000                             0.382640                    0.936752            37.374364          3000
   pgd     0.05            50        0.979333              0.544667             0.765333                             0.507669                    0.927023            32.608949          3000
   pgd     0.05            75        0.979333              0.544667             0.717333                             0.398006                    0.929933            34.360190          3000
   pgd     0.05            90        0.979333              0.544667             0.672333                             0.293712                    0.926902            36.543727          3000
