class_id,label_name,total_images,clean_correct,clean_accuracy,pgd_accuracy,jpeg_defended_accuracy,attack_success_count,attack_success_rate_on_clean_correct,recovered_count,recovery_rate_on_successful_attacks,still_failed_count,failure_rate_on_successful_attacks
0,Speed limit 20,14,14,1.0,0.42857142857142855,0.7857142857142857,8,0.5714285714285714,5,0.625,3,0.375
1,Speed limit 30,171,171,1.0,0.8947368421052632,0.9532163742690059,18,0.10526315789473684,10,0.5555555555555556,8,0.4444444444444444
2,Speed limit 50,178,177,0.9943820224719101,0.7808988764044944,0.8764044943820225,38,0.21468926553672316,17,0.4473684210526316,21,0.5526315789473685
3,Speed limit 60,107,104,0.9719626168224299,0.5233644859813084,0.822429906542056,48,0.46153846153846156,32,0.6666666666666666,16,0.3333333333333333
4,Speed limit 70,157,155,0.9872611464968153,0.3503184713375796,0.5987261146496815,100,0.6451612903225806,39,0.39,61,0.61
5,Speed limit 80,150,150,1.0,0.38,0.7666666666666667,93,0.62,58,0.6236559139784946,35,0.3763440860215054
6,End speed limit 80,36,36,1.0,0.1388888888888889,0.3055555555555556,31,0.8611111111111112,6,0.1935483870967742,25,0.8064516129032258
7,Speed limit 100,107,107,1.0,0.5981308411214953,0.7757009345794392,43,0.40186915887850466,19,0.4418604651162791,24,0.5581395348837209
8,Speed limit 120,107,106,0.9906542056074766,0.5700934579439252,0.7663551401869159,45,0.42452830188679247,21,0.4666666666666667,24,0.5333333333333333
9,No passing,114,114,1.0,0.7280701754385965,0.8596491228070176,31,0.2719298245614035,15,0.4838709677419355,16,0.5161290322580645
10,No passing trucks,157,157,1.0,0.5159235668789809,0.802547770700637,76,0.4840764331210191,45,0.5921052631578947,31,0.40789473684210525
11,Priority at next intersection,100,98,0.98,0.68,0.83,30,0.30612244897959184,15,0.5,15,0.5
12,Priority road,164,159,0.9695121951219512,0.6707317073170732,0.8780487804878049,49,0.3081761006289308,34,0.6938775510204082,15,0.30612244897959184
13,Yield,171,170,0.9941520467836257,0.7309941520467836,0.8596491228070176,45,0.2647058823529412,22,0.4888888888888889,23,0.5111111111111111
14,Stop,64,64,1.0,0.8125,0.953125,12,0.1875,9,0.75,3,0.25
15,No vehicles,50,50,1.0,0.72,0.78,14,0.28,3,0.21428571428571427,11,0.7857142857142857
16,Trucks prohibited,36,36,1.0,0.6388888888888888,0.75,13,0.3611111111111111,4,0.3076923076923077,9,0.6923076923076923
17,No entry,86,84,0.9767441860465116,0.6511627906976745,0.813953488372093,28,0.3333333333333333,14,0.5,14,0.5
18,General caution,93,90,0.967741935483871,0.3655913978494624,0.5698924731182796,56,0.6222222222222222,19,0.3392857142857143,37,0.6607142857142857
19,Dangerous curve left,14,14,1.0,0.21428571428571427,0.42857142857142855,11,0.7857142857142857,3,0.2727272727272727,8,0.7272727272727273
20,Dangerous curve right,21,21,1.0,0.7619047619047619,0.9523809523809523,5,0.23809523809523808,4,0.8,1,0.2
21,Double curve,21,18,0.8571428571428571,0.09523809523809523,0.5238095238095238,16,0.8888888888888888,9,0.5625,7,0.4375
22,Bumpy road,28,22,0.7857142857142857,0.2857142857142857,0.5357142857142857,14,0.6363636363636364,7,0.5,7,0.5
23,Slippery road,36,34,0.9444444444444444,0.5833333333333334,0.6666666666666666,13,0.38235294117647056,3,0.23076923076923078,10,0.7692307692307693
24,Road narrows right,21,21,1.0,0.2857142857142857,0.9523809523809523,15,0.7142857142857143,14,0.9333333333333333,1,0.06666666666666667
25,Road work,114,113,0.9912280701754386,0.9473684210526315,0.9736842105263158,5,0.04424778761061947,3,0.6,2,0.4
26,Traffic signals,43,43,1.0,0.6046511627906976,0.9069767441860465,17,0.3953488372093023,13,0.7647058823529411,4,0.23529411764705882
27,Pedestrians,14,6,0.42857142857142855,0.14285714285714285,0.35714285714285715,4,0.6666666666666666,3,0.75,1,0.25
28,Children crossing,36,36,1.0,0.7222222222222222,0.8611111111111112,10,0.2777777777777778,5,0.5,5,0.5
29,Bicycles crossing,21,19,0.9047619047619048,0.19047619047619047,0.42857142857142855,15,0.7894736842105263,5,0.3333333333333333,10,0.6666666666666666
30,Beware of ice/snow,36,31,0.8611111111111112,0.19444444444444445,0.25,24,0.7741935483870968,2,0.08333333333333333,22,0.9166666666666666
31,Wild animals crossing,64,64,1.0,0.21875,0.78125,50,0.78125,36,0.72,14,0.28
32,End speed and passing limits,14,14,1.0,0.0,0.6428571428571429,14,1.0,9,0.6428571428571429,5,0.35714285714285715
33,Turn right ahead,50,48,0.96,0.72,0.82,12,0.25,5,0.4166666666666667,7,0.5833333333333334
34,Turn left ahead,28,28,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0
